,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,648.313505122,652.560497643,650.723985416,650.249435933,654.977936403,642.764862914,644.311058931,650.129602433,629.265713781,628.259736622,547.237286258,520.643827906,514.26413621,523.055836784,541.524828205,563.874512337,603.303186512,620.649881723,636.794734422,641.905973193
1,650.203128163,652.454553252,646.61675794,652.102221603,649.359718655,653.042215135,652.175474433,636.086148559,639.261207814,640.071987865,556.4428809,551.937015566,509.784015358,506.296765723,527.359476239,548.158036314,601.416310791,614.178066821,617.886689058,628.451919368
2,648.42288441,649.833281639,646.141053648,650.426491518,647.756090914,647.652890458,648.373261345,634.227773698,638.486949541,642.884837504,597.323487454,599.052763609,551.026789105,529.286021609,550.099260856,558.74794631,610.991029278,617.172285516,620.287495929,623.721881359
3,644.685969907,645.34390733,649.118308429,643.109345006,646.723161327,633.224945457,641.220552666,606.614060652,610.830812739,637.312433711,638.941595372,651.157827167,633.872975432,613.955864664,621.773683968,615.541192926,647.470190121,647.9872228,637.204871571,632.647165198
4,646.810476347,640.53960242,652.463586565,640.320745317,647.535040662,628.618380005,633.677404061,577.747285237,582.767772676,630.558338065,650.20984207,636.662908476,649.724564969,651.95387588,648.535604195,646.755017162,642.776461828,645.260113306,651.938898498,646.946500459
5,646.080306576,647.020329403,648.519608984,640.220439016,648.38472684,619.290363468,638.528044557,562.87267045,575.72354837,627.109528723,616.572245013,596.886271286,610.816346187,607.124531866,609.748187695,631.405076949,615.17690566,627.05535847,651.362640086,649.756554165
6,650.191358122,647.970581741,649.848633757,649.776836047,650.474851258,643.127015091,640.761090328,650.360285286,643.619935958,637.81154849,552.183895187,526.551990213,506.871569583,512.880601992,527.178254353,558.413356148,600.102560194,620.217072669,635.257737503,639.572668469
7,650.854843068,651.540712229,648.117610159,651.737724126,652.741421309,652.108960918,644.56542762,645.84647396,646.858509939,641.497106717,554.092250328,539.586066331,499.762944398,496.337318551,514.075675902,537.619026166,592.816035255,607.279067524,618.264270557,630.780612534
8,652.735744789,647.012962128,647.261619585,650.939090179,648.870854929,649.257494482,645.622206074,634.023718789,640.449439644,639.487617432,607.65465177,609.684459282,569.837848711,541.864131651,562.919855228,564.140169531,612.54430732,617.487004023,619.109959433,624.364091336
9,643.625783458,641.789089292,647.665616122,642.054226086,645.722498597,635.616958341,636.267496968,600.318767228,607.545817196,637.223697761,645.975550031,654.628507903,645.439567269,627.242508556,631.527860546,623.550752115,651.853904503,646.864858701,638.862137981,635.562413568
10,649.36331709,644.922662218,649.594149095,640.992399818,647.451865439,628.774968599,632.135544111,571.002236642,584.715955591,637.89371092,645.626326278,626.561291959,638.392722268,643.250161871,639.532725334,645.637544063,635.093383857,636.044395702,652.188284892,651.63006987
11,652.6986691,647.858266867,653.180967766,648.543292701,653.152612709,642.464800025,639.683694817,651.948700622,637.669306163,624.528356242,534.817973253,512.330598552,500.608212047,506.436269332,509.314174118,538.657798337,584.205693328,610.317793246,625.113392474,635.59015773
12,651.654968522,649.707853957,649.114239035,653.61765182,652.222789937,653.181614519,648.248539472,648.70094021,644.121370281,636.800370949,560.391400474,550.608007796,519.195435644,513.998778866,530.549960493,553.649456109,600.563416238,609.470803036,622.015323757,629.338907368
13,650.691123633,646.194159615,650.971885228,649.184598415,650.598770161,649.09879208,643.635556691,647.454749292,645.066784963,635.863701754,556.458341529,548.752791679,523.011442256,521.116025261,535.064012545,549.10546675,595.160462766,611.221970745,616.848668908,631.630592708
14,647.669704002,646.763424056,644.483186585,649.803947479,650.245707514,645.710451346,645.703898475,628.129395195,639.447319349,639.640928653,615.535574504,620.473154045,587.331515459,564.599815117,580.439516462,576.718341783,621.864784648,622.305823148,621.208111946,626.218383072
15,652.339530343,644.414562278,646.106465692,652.394093741,648.675224642,642.426167394,642.652071233,606.901294852,631.208427359,645.253838134,641.337647086,647.465277015,629.489551031,611.72020835,620.178108897,613.999718551,646.192280921,638.257429203,638.47304303,630.479445396
16,651.958466362,648.147681962,653.320711225,646.054889002,650.984002875,635.800670541,641.954474252,653.690655968,636.474273393,620.163621781,522.380167639,512.39071722,506.490589388,516.76054064,515.578986299,546.710673029,585.731648443,609.156706983,629.587515759,637.242887393
17,652.461908505,646.423089635,649.585398359,650.280745666,649.340372838,650.375804818,646.431984798,636.680643134,641.105308717,638.93676197,568.825190225,560.3208393,547.69201767,546.048498119,558.847496141,570.097111734,607.108454843,624.105307754,627.476128373,634.509789719
18,647.519636259,650.012391553,645.608388126,646.048803168,650.496641992,645.306871375,640.654840523,612.719593244,634.818229046,645.435575673,635.580122341,642.692761393,628.531603517,604.559522259,616.251220751,609.433152089,643.680268465,638.558289542,634.106015588,631.127977763
19,650.087527367,650.345995089,654.177372626,646.738578814,648.229553601,624.263236331,639.880716648,651.203092597,621.698231762,608.84718631,526.360491771,512.682572525,526.772757365,530.606389128,536.047976203,572.116930528,597.682435995,622.604689898,641.81521215,642.609456916
20,651.469397179,651.649918283,649.446262543,651.837671968,651.719563862,647.786218123,648.732303692,644.66645871,637.954512235,626.51811813,572.101660764,550.332892238,555.147583228,569.353202785,580.492534897,602.297446892,624.707741554,629.439621212,638.437836111,641.715396606
21,651.699218937,647.935674546,650.036660566,653.803062688,650.732116574,648.157956143,637.238980827,610.768019538,639.831305679,632.718509757,615.303148752,624.897820606,616.585748913,609.01643966,623.581690431,623.83877991,648.784121986,644.551028002,646.322240323,639.783514493
22,648.015523836,648.744924698,651.238283548,645.778470457,648.63469616,632.413728159,628.201782311,586.905972298,620.896104723,650.613346591,649.851138251,641.672271594,646.099630606,648.650712076,648.07343198,645.000565063,631.744642481,636.121016764,650.928527323,651.252642947
23,649.748100471,644.335057465,649.224899113,645.232077837,647.065420236,620.362907155,632.710799057,571.458659714,590.518720254,644.071925055,618.047586266,604.672441278,599.668367424,596.090710439,602.303395319,612.482926161,598.523928994,619.040943775,646.912222685,653.095862126
24,646.41274063,647.055503025,651.098677583,643.454352136,647.259086903,616.775410727,639.347000139,570.457995636,579.374551911,612.99957334,569.133866819,562.817450643,555.887193519,552.093774931,562.476063136,579.209064516,587.995443299,613.4119247,640.776535997,647.735620701
25,646.669438429,653.682474973,651.428185282,646.685842996,650.115245594,630.790391072,647.159406642,637.912412807,625.052639139,606.097266987,557.55537004,558.382982407,574.720041807,575.137429909,581.718522399,623.507104736,623.638687767,639.666269242,651.851485213,646.1161801
26,650.196441303,649.839352817,647.807021197,649.405656485,647.829656035,642.705280354,647.054610634,642.641531385,639.233478766,609.478354601,571.848970927,579.312070513,592.241271058,601.653344035,605.468395383,636.340855967,634.931985168,645.102309007,648.328465494,638.232885157
27,652.224097117,647.638948895,648.953736319,651.601718472,650.773804515,647.270279779,614.108896509,629.070301425,645.32223023,621.509492731,622.927640097,632.483200645,642.11733541,648.848300127,654.348165381,651.006208779,645.432087673,638.05370214,642.266978726,649.028823207
28,653.366080158,649.640600772,649.268867487,652.958120809,647.074361779,633.917729483,613.124855952,613.99140369,642.182015783,644.972850289,635.789935515,626.455401108,617.546748406,609.740674113,609.626419994,599.63592232,598.456912776,621.547681958,634.81238947,651.221618606
29,650.596419117,648.89835018,648.618520888,648.622868114,649.902426198,623.425994653,635.511957777,602.890086061,605.560586061,611.002669883,555.458431969,557.890138778,537.936543818,533.111396412,533.841991073,547.348975244,578.403725329,606.024006414,634.10018035,649.598303098
30,647.17544906,648.670443019,649.1138152,640.07143283,649.319316981,625.795497382,641.728824946,614.93251085,623.667948316,614.728916348,583.465221515,591.157385687,608.51964313,603.229934806,612.398327914,642.443311961,632.178777709,641.915690402,650.885202529,639.322827268
31,651.393009544,651.244264851,647.370354284,648.23133578,651.076483864,637.481420857,633.711512193,634.517550787,638.033978413,619.153803262,604.642877141,611.586592077,622.896430834,627.39052107,633.184321751,651.250963363,644.433744724,649.105238582,636.825549558,626.347305903
32,652.185635922,647.524181254,646.557280428,650.030922037,652.038452099,647.72538146,605.754927599,634.059385272,641.203145046,629.634040681,637.400584768,636.148680595,648.941140858,648.530373293,650.733447574,637.934077466,644.950616991,642.91339297,631.243686204,642.070511615
33,647.717203148,646.960014972,652.511185219,651.014579805,651.701331953,646.916191926,623.428844124,643.19850848,649.91138991,637.653131081,601.095467466,600.008624086,584.547693454,559.539457444,558.750184609,562.837740002,602.920999857,617.813977948,630.891963986,643.838429201
34,642.241006359,650.839401917,646.013832223,642.068688659,647.964775094,618.829536266,635.384518073,575.157904861,609.768944587,623.030463932,615.163472635,615.711048617,628.697912662,623.844118914,629.206746202,645.789799311,637.819146475,645.447353402,646.297140398,640.476240225
35,644.390276881,647.779647482,647.187297336,647.063145395,651.044755594,638.23109547,627.405904411,606.796331651,632.144867518,630.212656013,636.948751447,636.388376698,639.050732139,642.592712531,645.445992725,645.230229297,645.63800478,649.606175551,634.320013874,628.40944948
36,647.081508728,650.733429226,652.068466581,649.95083359,652.30664434,650.438805528,628.906631806,619.029091726,645.980801424,645.533405933,612.187476698,619.297704381,601.704154322,584.240501855,577.990736818,567.185453362,615.027495462,623.769853354,622.283250435,637.919041683
37,641.855513162,648.492520661,649.601192002,640.807216914,649.22546409,622.336236852,635.350239149,571.796383498,610.245219541,629.914069018,629.645099362,626.254724941,636.219758057,632.4222599,638.116680005,648.148762237,640.737485424,647.389474848,644.849859912,637.248392354
38,646.325245381,652.600797964,648.553196714,648.016164623,652.821237488,648.610111626,637.897279204,590.057861759,635.303531063,648.800197021,637.678829459,642.879110195,634.963276954,620.297296731,620.35244532,602.004314115,632.008689392,635.545565867,623.97025438,634.206485072
39,647.541220166,651.007642968,651.533286205,652.406264868,650.275008948,650.69719498,634.782729809,618.209856784,647.482717209,638.534710805,598.055110423,606.702874976,587.39327152,570.430879963,566.809844297,561.441365777,611.689962264,622.540268657,623.382911167,635.017996958
40,652.347076102,650.770452651,649.501856761,652.087206732,653.366814142,638.643932744,645.837626106,650.477996978,635.865733276,595.867284749,520.277711464,529.764154171,504.875875096,495.716220438,501.080026976,529.726702428,578.501571621,604.889302758,627.08402719,642.21553005
41,647.922913975,652.219296944,649.085980656,649.150180396,649.263502481,621.919704922,642.682680235,613.380953186,606.689864355,580.914807274,524.186170899,531.916641869,513.898492321,505.403281742,511.615376846,544.045630685,577.790533855,606.103943346,634.426963028,640.717349933
42,646.230992046,650.531393238,646.611460505,642.134743116,647.776533578,612.95671559,639.917707118,581.196378157,580.596629068,581.754352236,540.420807318,541.637512468,538.773055471,525.645654103,535.113044641,564.233804649,587.766981079,614.689302907,642.174869365,644.025280448
43,638.800381783,649.049508241,647.193306431,640.116241185,646.72168134,630.218194292,635.810034975,548.804350643,592.087021505,627.110394151,623.75278812,619.333421378,631.335070626,625.779507987,627.831801242,641.418713966,642.244887183,646.746069299,648.659055269,644.793197193
44,640.046328574,648.348973676,647.218216846,641.180755912,646.624869822,635.004743715,632.78467851,557.511526454,610.880681006,640.839596482,648.076001675,643.554989756,646.820565777,643.785170594,643.946993935,648.727700823,643.373898055,648.19497452,643.207875016,639.953575962
45,646.878882101,652.944936294,648.193336781,649.802177405,650.679749525,648.228305811,644.856581606,599.035392441,640.569161448,637.863506656,598.596727641,596.72393861,582.022858816,579.980073321,579.400107574,579.316137358,621.809876498,627.155042048,623.481903723,637.950235939
46,648.26824007,651.765927902,652.483523775,649.822423776,652.795508404,650.451953659,649.698186524,637.264204481,646.809889723,613.363961776,526.78063223,533.97669593,519.938556395,514.728313767,520.222957684,546.329603112,592.627593188,619.866316096,623.993993385,638.237127537
