subj_idx,RT,state
2.000000,1.074436,Alert
2.000000,1.695064,Drowsy
4.000000,0.723141,Alert
4.000000,0.958894,Drowsy
5.000000,0.675023,Alert
5.000000,1.847254,Drowsy
6.000000,1.151063,Alert
6.000000,1.728288,Drowsy
7.000000,0.862764,Alert
7.000000,0.796802,Drowsy
9.000000,0.816812,Alert
9.000000,1.336232,Drowsy
10.000000,0.721393,Alert
10.000000,1.715091,Drowsy
20.000000,0.359322,Alert
20.000000,0.648538,Drowsy
21.000000,0.495800,Alert
21.000000,0.983389,Drowsy
22.000000,0.773043,Alert
22.000000,1.248273,Drowsy
23.000000,1.026620,Alert
23.000000,0.978956,Drowsy
24.000000,0.405723,Alert
24.000000,0.565655,Drowsy
25.000000,0.425068,Alert
25.000000,0.458250,Drowsy
26.000000,0.415693,Alert
26.000000,1.135987,Drowsy
27.000000,0.523975,Alert
27.000000,1.035563,Drowsy
28.000000,0.634957,Alert
28.000000,0.605282,Drowsy
30.000000,0.444531,Alert
30.000000,1.065210,Drowsy
31.000000,0.661129,Alert
31.000000,1.429858,Drowsy
32.000000,1.006288,Alert
32.000000,2.038195,Drowsy
33.000000,1.115440,Alert
33.000000,1.213585,Drowsy
34.000000,0.453759,Alert
34.000000,1.039935,Drowsy
35.000000,0.321809,Alert
35.000000,1.190988,Drowsy
36.000000,0.232094,Alert
36.000000,0.654941,Drowsy
37.000000,0.867864,Alert
37.000000,1.124002,Drowsy
38.000000,0.905197,Alert
38.000000,2.429018,Drowsy
39.000000,0.756808,Alert
39.000000,1.203508,Drowsy
41.000000,0.971743,Alert
41.000000,1.254497,Drowsy
42.000000,0.667796,Alert
42.000000,1.093757,Drowsy
43.000000,0.350811,Alert
43.000000,0.638208,Drowsy
44.000000,0.602457,Alert
44.000000,1.278468,Drowsy
45.000000,1.505925,Alert
45.000000,2.117781,Drowsy
46.000000,0.541297,Alert
46.000000,1.705887,Drowsy
