"Stim","state","subj_idx","totresp","errcnt","p_err","Stimstate"
"Left","Alert",2,56,3,0.0535714285714286,"Left.Alert"
"Right","Alert",2,55,1,0.0181818181818182,"Right.Alert"
"Left","Drowsy",2,114,28,0.245614035087719,"Left.Drowsy"
"Right","Drowsy",2,127,4,0.031496062992126,"Right.Drowsy"
"Left","Alert",4,56,0,0,"Left.Alert"
"Right","Alert",4,56,10,0.178571428571429,"Right.Alert"
"Left","Drowsy",4,249,8,0.0321285140562249,"Left.Drowsy"
"Right","Drowsy",4,234,50,0.213675213675214,"Right.Drowsy"
"Left","Alert",5,56,2,0.0357142857142857,"Left.Alert"
"Right","Alert",5,56,4,0.0714285714285714,"Right.Alert"
"Left","Drowsy",5,223,45,0.201793721973094,"Left.Drowsy"
"Right","Drowsy",5,238,9,0.0378151260504202,"Right.Drowsy"
"Left","Alert",6,55,7,0.127272727272727,"Left.Alert"
"Right","Alert",6,54,4,0.0740740740740741,"Right.Alert"
"Left","Drowsy",6,189,25,0.132275132275132,"Left.Drowsy"
"Right","Drowsy",6,176,16,0.0909090909090909,"Right.Drowsy"
"Left","Alert",7,56,1,0.0178571428571429,"Left.Alert"
"Right","Alert",7,54,6,0.111111111111111,"Right.Alert"
"Left","Drowsy",7,206,19,0.0922330097087379,"Left.Drowsy"
"Right","Drowsy",7,205,22,0.107317073170732,"Right.Drowsy"
"Left","Alert",9,56,3,0.0535714285714286,"Left.Alert"
"Right","Alert",9,56,4,0.0714285714285714,"Right.Alert"
"Left","Drowsy",9,96,13,0.135416666666667,"Left.Drowsy"
"Right","Drowsy",9,95,45,0.473684210526316,"Right.Drowsy"
"Left","Alert",10,56,0,0,"Left.Alert"
"Right","Alert",10,56,5,0.0892857142857143,"Right.Alert"
"Left","Drowsy",10,97,1,0.0103092783505155,"Left.Drowsy"
"Right","Drowsy",10,120,2,0.0166666666666667,"Right.Drowsy"
"Left","Alert",20,49,4,0.0816326530612245,"Left.Alert"
"Right","Alert",20,46,2,0.0434782608695652,"Right.Alert"
"Left","Drowsy",20,139,27,0.194244604316547,"Left.Drowsy"
"Right","Drowsy",20,136,4,0.0294117647058824,"Right.Drowsy"
"Left","Alert",21,55,9,0.163636363636364,"Left.Alert"
"Right","Alert",21,56,2,0.0357142857142857,"Right.Alert"
"Left","Drowsy",21,206,56,0.271844660194175,"Left.Drowsy"
"Right","Drowsy",21,216,35,0.162037037037037,"Right.Drowsy"
"Left","Alert",22,30,0,0,"Left.Alert"
"Right","Alert",22,11,0,0,"Right.Alert"
"Left","Drowsy",22,113,0,0,"Left.Drowsy"
"Right","Drowsy",22,40,1,0.025,"Right.Drowsy"
"Left","Alert",23,51,5,0.0980392156862745,"Left.Alert"
"Right","Alert",23,54,4,0.0740740740740741,"Right.Alert"
"Left","Drowsy",23,248,28,0.112903225806452,"Left.Drowsy"
"Right","Drowsy",23,270,56,0.207407407407407,"Right.Drowsy"
"Left","Alert",24,56,13,0.232142857142857,"Left.Alert"
"Right","Alert",24,55,3,0.0545454545454545,"Right.Alert"
"Left","Drowsy",24,81,56,0.691358024691358,"Left.Drowsy"
"Right","Drowsy",24,73,2,0.0273972602739726,"Right.Drowsy"
"Left","Alert",25,53,8,0.150943396226415,"Left.Alert"
"Right","Alert",25,52,3,0.0576923076923077,"Right.Alert"
"Left","Drowsy",25,36,5,0.138888888888889,"Left.Drowsy"
"Right","Drowsy",25,27,1,0.037037037037037,"Right.Drowsy"
"Left","Alert",26,48,4,0.0833333333333333,"Left.Alert"
"Right","Alert",26,41,3,0.0731707317073171,"Right.Alert"
"Left","Drowsy",26,102,30,0.294117647058824,"Left.Drowsy"
"Right","Drowsy",26,102,8,0.0784313725490196,"Right.Drowsy"
"Left","Alert",27,10,0,0,"Left.Alert"
"Right","Alert",27,22,0,0,"Right.Alert"
"Left","Drowsy",27,32,4,0.125,"Left.Drowsy"
"Right","Drowsy",27,60,1,0.0166666666666667,"Right.Drowsy"
