Subj_id,Stim_id,Wav_fname,Stim_loc,Stim_lat,Stim_ang,Stim_dts,Acc,RT,Resp_but,Alertness,ovtrialsnos
"s_43",56,"L25flip","R",2,12,"R12",1,0.31166826,8,"Alert",1
"s_43",43,"L12flip","R",2,60,"R60",1,0.42298187,8,"Alert",2
"s_43",7,"L14","L",1,35,"L35",1,0.295543559,1,"Alert",3
"s_43",2,"L9","L",1,60,"L60",1,0.355314997,1,"Alert",4
"s_43",74,"R24flip","L",1,12,"L12",1,0.349873884,1,"Alert",5
"s_43",37,"R25","R",2,12,"R12",1,0.318455248,8,"Alert",6
"s_43",36,"R24","R",2,12,"R12",0,0.384600137,1,"Alert",7
"s_43",71,"R21flip","L",1,12,"L12",1,0.37596599,1,"Alert",8
"s_43",54,"L23flip","R",2,12,"R12",1,0.335436803,8,"Alert",9
"s_43",50,"L19flip","R",2,35,"R35",0,0.549031286,1,"Alert",10
"s_43",59,"R9flip","L",1,60,"L60",1,0.357194005,1,"Alert",11
"s_43",3,"L10","L",1,60,"L60",1,0.332990427,1,"Alert",12
"s_43",55,"L24flip","R",2,12,"R12",1,0.254203456,8,"Alert",13
"s_43",15,"L22","L",1,12,"L12",1,0.395685162,1,"Alert",14
"s_43",72,"R22flip","L",1,12,"L12",1,0.476327788,1,"Alert",15
"s_43",40,"L9flip","R",2,60,"R60",0,0.418031937,1,"Alert",16
"s_43",66,"R16flip","L",1,35,"L35",1,0.425455695,1,"Alert",17
"s_43",24,"R12","R",2,60,"R60",1,0.31106594,8,"Alert",18
"s_43",68,"R18flip","L",1,35,"L35",1,0.418867638,1,"Alert",19
"s_43",65,"R15flip","L",1,35,"L35",1,0.350379281,1,"Alert",20
"s_43",25,"R13","R",2,60,"R60",1,0.347678438,8,"Alert",21
"s_43",52,"L21flip","R",2,12,"R12",1,0.358562922,8,"Alert",22
"s_43",45,"L14flip","R",2,35,"R35",0,0.337951551,1,"Alert",23
"s_43",14,"L21","L",1,12,"L12",1,0.344209357,1,"Alert",24
"s_43",47,"L16flip","R",2,35,"R35",1,0.345281113,8,"Alert",25
"s_43",64,"R14flip","L",1,35,"L35",1,0.370259734,1,"Alert",26
"s_43",72,"R22flip","L",1,12,"L12",0,0.392893699,8,"Alert",27
"s_43",10,"L17","L",1,35,"L35",1,0.355111574,1,"Alert",28
"s_43",29,"R17","R",2,35,"R35",1,0.447966248,8,"Alert",29
"s_43",17,"L24","L",1,12,"L12",1,0.311806742,1,"Alert",30
"s_43",51,"L20flip","R",2,12,"R12",1,0.382209171,8,"Alert",31
"s_43",71,"R21flip","L",1,12,"L12",1,0.353607839,1,"Alert",32
"s_43",73,"R23flip","L",1,12,"L12",0,0.332511271,8,"Alert",33
"s_43",28,"R16","R",2,35,"R35",1,0.449400612,8,"Alert",34
"s_43",30,"R18","R",2,35,"R35",1,0.349619213,8,"Alert",35
"s_43",27,"R15","R",2,35,"R35",1,0.349736315,8,"Alert",36
"s_43",18,"L25","L",1,12,"L12",1,0.257369898,1,"Alert",37
"s_43",26,"R14","R",2,35,"R35",1,0.322662324,8,"Alert",38
"s_43",61,"R11flip","L",1,60,"L60",1,0.275142855,1,"Alert",39
"s_43",48,"L17flip","R",2,35,"R35",1,0.308325735,8,"Alert",40
"s_43",65,"R15flip","L",1,35,"L35",1,0.406604267,1,"Alert",41
"s_43",13,"L20","L",1,12,"L12",0,0.417000245,8,"Alert",42
"s_43",1,"L8","L",1,60,"L60",1,0.443793581,1,"Alert",43
"s_43",34,"R22","R",2,12,"R12",1,0.750279711,8,"Alert",44
"s_43",46,"L15flip","R",2,35,"R35",1,0.384458202,8,"Alert",45
"s_43",6,"L13","L",1,60,"L60",1,0.38930098,1,"Alert",46
"s_43",44,"L13flip","R",2,60,"R60",1,0.257268481,8,"Alert",47
"s_43",16,"L23","L",1,12,"L12",1,0.310620442,1,"Alert",48
"s_43",29,"R17","R",2,35,"R35",1,0.445075936,8,"Alert",49
"s_43",69,"R19flip","L",1,35,"L35",1,0.283096111,1,"Alert",50
"s_43",31,"R19","R",2,35,"R35",1,0.396960346,8,"Alert",51
